route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
0051ML4187,0051ML41870600124213,0051ML41870600124213,BRITOMART,0,4187
0051ML4187,0051ML41870630133963,0051ML41870630133963,BRITOMART,0,4187
0051ML4187,0051ML41870700143713,0051ML41870700143713,BRITOMART,0,4187
0051ML4187,0051ML41870715148588,0051ML41870715148588,BRITOMART,0,4187
0051ML4187,0051ML41870730153463,0051ML41870730153463,BRITOMART,0,4187
0051ML4187,0051ML41870745158338,0051ML41870745158338,BRITOMART,0,4187
0051ML4187,0051ML41870800163213,0051ML41870800163213,BRITOMART,0,4187
0051ML4187,0051ML41870815168088,0051ML41870815168088,BRITOMART,0,4187
0051ML4187,0051ML41870830172963,0051ML41870830172963,BRITOMART,0,4187
0052ML4311,0052ML43111605375521,0052ML43111605375521,PT CHEV,1,4311
0052ML4311,0052ML43111625383081,0052ML43111625383081,PT CHEV,1,4311
0052ML4311,0052ML43111645390641,0052ML43111645390641,PT CHEV,1,4311
0052ML4311,0052ML43111705398201,0052ML43111705398201,PT CHEV,1,4311
0052ML4311,0052ML43111725405761,0052ML43111725405761,PT CHEV,1,4311
0052ML4311,0052ML43111745413321,0052ML43111745413321,PT CHEV,1,4311
0052ML4311,0052ML43111805420881,0052ML43111805420881,PT CHEV,1,4311
0052ML4311,0052ML43111825428441,0052ML43111825428441,PT CHEV,1,4311
0052ML4311,0052ML43111845436001,0052ML43111845436001,PT CHEV,1,4311
0070ML5775,0070ML577519153849114,0070ML577519153849114,ST HELIERS,1,5775
0070ML5775,0070ML577520154043514,0070ML577520154043514,ST HELIERS,1,5775
0070ML5775,0070ML577521154231898,0070ML577521154231898,ST HELIERS,1,5775
0071ML5776,0071ML57760625896844,0071ML57760625896844,PT CHEV,0,5776
0071ML5776,0071ML577607101007566,0071ML577607101007566,PT CHEV,0,5776
0071ML5776,0071ML577607301062533,0071ML577607301062533,PT CHEV,0,5776
0071ML5776,0071ML577608101153869,0071ML577608101153869,PT CHEV,0,5776
0071ML5776,0071ML577615102037849,0071ML577615102037849,PT CHEV,0,5776
0071ML5776,0071ML577615402102199,0071ML577615402102199,PT CHEV,0,5776
0071ML5776,0071ML577616152176891,0071ML577616152176891,PT CHEV,0,5776
0071ML5776,0071ML577616452241624,0071ML577616452241624,PT CHEV,0,5776
0071ML5776,0071ML577617152303623,0071ML577617152303623,PT CHEV,0,5776
0071ML5776,0071ML577617452367170,0071ML577617452367170,PT CHEV,0,5776
0072ML5777,0072ML577707351091485,0072ML577707351091485,GLEN INNES,1,5777
0072ML5777,0072ML577708101168732,0072ML577708101168732,GLEN INNES,1,5777
0072ML5777,0072ML577708451238828,0072ML577708451238828,GLEN INNES,1,5777
0072ML5777,0072ML577715402162128,0072ML577715402162128,GLEN INNES,1,5777
0072ML5777,0072ML577716102231035,0072ML577716102231035,GLEN INNES,1,5777
0072ML5777,0072ML577716402297503,0072ML577716402297503,GLEN INNES,1,5777
0072ML5777,0072ML577717102354748,0072ML577717102354748,GLEN INNES,1,5777
0072ML5777,0072ML577717402421078,0072ML577717402421078,GLEN INNES,1,5777
0073ML5757,0073ML575708001651232,0073ML575708001651232,PT CHEV,0,5757
0073ML5757,0073ML575708001653052,0073ML575708001653052,PT CHEV,0,5757
0073ML5757,0073ML575708451794064,0073ML575708451794064,PT CHEV,0,5757
0073ML5757,0073ML575709151888864,0073ML575709151888864,PT CHEV,0,5757
0073ML5757,0073ML575709151890427,0073ML575709151890427,PT CHEV,0,5757
0073ML5757,0073ML575709451983664,0073ML575709451983664,PT CHEV,0,5757
0073ML5757,0073ML575710152078464,0073ML575710152078464,PT CHEV,0,5757
0073ML5757,0073ML575710302127427,0073ML575710302127427,PT CHEV,0,5757
0073ML5757,0073ML575710452173264,0073ML575710452173264,PT CHEV,0,5757
0073ML5757,0073ML575711152268064,0073ML575711152268064,PT CHEV,0,5757
0073ML5757,0073ML575711452362864,0073ML575711452362864,PT CHEV,0,5757
0073ML5757,0073ML575711452364427,0073ML575711452364427,PT CHEV,0,5757
0073ML5757,0073ML575712152457664,0073ML575712152457664,PT CHEV,0,5757
0073ML5757,0073ML575712452552464,0073ML575712452552464,PT CHEV,0,5757
0073ML5757,0073ML575713002601052,0073ML575713002601052,PT CHEV,0,5757
0073ML5757,0073ML575713152647264,0073ML575713152647264,PT CHEV,0,5757
0073ML5757,0073ML575713452742064,0073ML575713452742064,PT CHEV,0,5757
0073ML5757,0073ML575714152836864,0073ML575714152836864,PT CHEV,0,5757
0073ML5757,0073ML575714152838427,0073ML575714152838427,PT CHEV,0,5757
0073ML5757,0073ML575714452931664,0073ML575714452931664,PT CHEV,0,5757
0073ML5757,0073ML575715153026464,0073ML575715153026464,PT CHEV,0,5757
0073ML5757,0073ML575715303075427,0073ML575715303075427,PT CHEV,0,5757
0073ML5757,0073ML575715453121264,0073ML575715453121264,PT CHEV,0,5757
0073ML5757,0073ML575716153216064,0073ML575716153216064,PT CHEV,0,5757
0073ML5757,0073ML575716453310864,0073ML575716453310864,PT CHEV,0,5757
0073ML5757,0073ML575716453312427,0073ML575716453312427,PT CHEV,0,5757
0073ML5757,0073ML575717153405664,0073ML575717153405664,PT CHEV,0,5757
0073ML5757,0073ML575717453500464,0073ML575717453500464,PT CHEV,0,5757
0073ML5757,0073ML575718003538090,0073ML575718003538090,PT CHEV,0,5757
0073ML5757,0073ML575718153584931,0073ML575718153584931,PT CHEV,0,5757
0073ML5757,0073ML575719053732572,0073ML575719053732572,PT CHEV,0,5757
0074ML5758,0074ML575808001816307,0074ML575808001816307,ST HELIERS,1,5758
0074ML5758,0074ML575808051833737,0074ML575808051833737,ST HELIERS,1,5758
0074ML5758,0074ML575808351938317,0074ML575808351938317,ST HELIERS,1,5758
0074ML5758,0074ML575809052042897,0074ML575809052042897,ST HELIERS,1,5758
0074ML5758,0074ML575809152077757,0074ML575809152077757,ST HELIERS,1,5758
0074ML5758,0074ML575809352147477,0074ML575809352147477,ST HELIERS,1,5758
0074ML5758,0074ML575810002234627,0074ML575810002234627,ST HELIERS,1,5758
0074ML5758,0074ML575810302339207,0074ML575810302339207,ST HELIERS,1,5758
0074ML5758,0074ML575811002443787,0074ML575811002443787,ST HELIERS,1,5758
0074ML5758,0074ML575811302548367,0074ML575811302548367,ST HELIERS,1,5758
0074ML5758,0074ML575811452600657,0074ML575811452600657,ST HELIERS,1,5758
0074ML5758,0074ML575812002652947,0074ML575812002652947,ST HELIERS,1,5758
0074ML5758,0074ML575812302757527,0074ML575812302757527,ST HELIERS,1,5758
0074ML5758,0074ML575813002862107,0074ML575813002862107,ST HELIERS,1,5758
0074ML5758,0074ML575813302966687,0074ML575813302966687,ST HELIERS,1,5758
0074ML5758,0074ML575814003071267,0074ML575814003071267,ST HELIERS,1,5758
0074ML5758,0074ML575814153123557,0074ML575814153123557,ST HELIERS,1,5758
0074ML5758,0074ML575814303175847,0074ML575814303175847,ST HELIERS,1,5758
0074ML5758,0074ML575815003280427,0074ML575815003280427,ST HELIERS,1,5758
0074ML5758,0074ML575815303385007,0074ML575815303385007,ST HELIERS,1,5758
